,POIName
0,Poolside Cafe
1,Dewan Masjid Raja Haji Fisabilillah
2,SK Cyberjaya
3,Cyberview Solar Farm Car Park
4,Faculty of management (FOM) Staff Car Park @ MMU Cyberjaya
6,FCI Parking
7,FIT Parking
8,Hostel Parking
12,Multimedia University Parking
13,Parking
14,Parking Area
15,University Parking
16,
18,Surau Smk cyberjaya
19,Al-Qasr Restaurant
20,Culinary Pleasure International Restaurant & Luxury Catering
21,Hammurabi Restaurant
22,Istanbul Kabab
23,Julio's Lounge
24,Restoran Al-Nazmaju
25,Restoran Makang
26,Saba Restaurant Cyberjaya
27,Salam Noodles
28,TOKYO LUNCH
29,Traskun Restaurant
30,ULAM dan SUP
31," SJK (C) Union, Cyberjaya "
32,Universiti Islam Malaysia
33,Dell Asia Pacific Sdn. Bhd.
34,DXC Global Center - IT/Finance Building
35,IBM Client Innovation Centre Malaysia Sdn Bhd
36,Tech Mahindra ICT Services ( Malaysia ) SDN. BHD.
37,7 Eleven
38,7-Eleven
39,KK Super Mart Cyberjaya Shaftsbury Square SSQ
40,Village Grocer Tamarind Square
41,GO! Cyberjaya Cycling & Hobby Store
42,Bank Negara Malaysia Cyberjaya
43,United Overseas Bank
44,Celebrity Fitness - Dpulze
45,Shaftsbury Serviced Suites and Hotel
46,Z Hotel
48,myBurgerLab Cyberjaya
49,Nandos
52,Pizza Hut Restaurant
53,San Francisco Coffee
54,The Coffee Bean & Tea Leaf
55,TapMy Comfort Food Restaurant (Rooftop Pan Mee)pers Cafe Cyberjaya
56,Tappers Cafe Cyberjaya
57,The Chicken Rice Shop
58,Tealive
60,Masjid Raja Haji Fisabilillah
61,Surau Al Hidayah MMU
62,Mazaj Restaurant
63,Petronas Persiaran APEC
64,BookXcess
65,New Look Saloon
66,Gem In Mall Cyberjaya
67,Shell Information Technology International Sdn. Bhd.
68,amIT Global Solutions Sdn Bhd
69,Blithesoft Sdn. Bhd.
70,Logicalis Asia Pacific MSC Sdn. Bhd.
71,MERP Technologies Sdn Bhd
72,Mindteck Software Malaysia Sdn. Bhd.
73,Mysoft Corporation Sdn Bhd (Cyberjaya HQ)
74,Saffron Info Systems Sdn. Bhd.
76,Mr. Accounting / ERP MySoft
77,Composites Technology Research Malaysia Sdn Bhd
78,Infobip Asia Pacific
79,IX Telecom
80,The Place at Cyberjaya
81,Cybersquare Cyberjaya
82,The Eagle Nest Ville
83,Cyberjaya University Of Medical Science
84,Limkokwing University
85,Multimedia University (Mmu)
86,Srk Cyberjaya 1
87,Kush Vegetarian Restaurant
88,Padi Restaurant
89,Tau Cafe
90,Mmu Mosque
91,Shell Presinct 8 Putrajaya
93,Balai Bomba & Penyelamat Putrajaya
94,Dominos
95,Faculty Parking
102,Al-Naz Maju
107,Putrajaya Sentral
121,Putrajaya
126,CS BROTHERS
190,Zawara
192,PTPTN Putrajaya
193,Fasa 12 Presint 9
194,Tuck Heng Hardware Trading
195,yasmin cyberjaya
196,Restaurant Erra
197,CyberSquare
198,synerflux
199,Petron
200,Shell
201,Cendol Durian Borhan
202,Y Tomyam Seafood
203,Dengkil Food Paradise
204,Surau Desa Timah Langat
209,Marina Putrajaya
210,Heriot Watt University Malaysia
211,Ikan Bakar Seri Empangan Putrajaya
212,Kompleks Sukan Mendaki Putrajaya
213,Kompleks Sukan Luncur Putrajaya
215,Restoran Medina
216,LaundryBar
217,PumpOnTheGo
218,Shahnaz Maju
219,PappaRich
220,Marrybrown
221,Traskun Pakistani Restaurant
223,The Place@Cyberjaya
224,University bus stop
225,Parkng area
227,Office Sk Cyberjaya
228,Kindergarten Sk Cyberjaya
229,Parking area
234,Sysaban Restaurant
236,Sultan Cuisine Restaurant
237,Sabaa Restaurant
238,Alqasr Restaurant
240,Julio's Lounge Restaurant
241,Istanbul Palace Restaurant
242,Presint 20
244,New Look
248,"SJK (C) Union, Cyberjaya 赛城联合华文小学"
250,Lorate Cafe
251,Seri Gemilang Bridge
255,Brainy Bunch International School and Headquarters
256,Pusat Kitar Semula Presint 9
257,A&C Grocery
258,Solstice Management Office
259,Monjo Coffee
260,Redtick Supermarket
261,Paragon Management Office
262,Komplek Kejiranan Presint 9
263,Bazaar 8
264,Dewan Serbaguna Presint 9
265,Padi House Cafeteria and Deli Cafe
266,Royale Nasi Kandar
268,Food Court Presint 9
269,Pusat Kesihatan Precinct 9
272,Universiti Multimedia
273,Telekom Malaysia
274,Central Food Court(CFC)
275,"Surau Al Hidayah, MMU Cyberjaya"
281,LimKokWing University College
292,Kelab Komuniti Taman Tasik Cyberjaya
293,Majlis Perbandaran Sepang
294,Petronas Cyberjaya
298,Badminton Court
299,Cyberia Field A
302,Kementerian Pendidikan
305,Kirkby International College
306,Cyberview
308,Malaysian Global Innovation and Creativity Centre (MaGIC)
310,Obama Oval
312,Dell Global Business Centre
317,"Dell, Persiara APEC"
318,Dell Global IT Centre Car Park
321,Alhijrah Big Studio (ABS) Parking
322,KRU Studio
323,Park n Ride
325,CSF Computer Exchange 1
328,Balai Bomba dan Penyelamat Cyberjaya
334,HP
335,RBC Dexia Investor Services
336,FSBM Holdings
338,University of Malaya Faculty of Computer Science and Engineering
340,Bank Negara Malaysia Data Centre
341,CX2 Computer Exchange
344,Restoran JS Maju
345,Nando's
346,Taiba Restaurant
347,KFC
348,BarnHouse Cafe
350,Ayam Penyet Ria
351,Impact
352,MCMC Parking
353,Malaysian Communication and Multimedia Commission (MCMC)
355,Shaftsbury Square Shop & Retail
356,Prima Avenue 6
357,Prima Avenue 7
358,Prima Avenue 8
359,Padi
360,Old Town White Coffee
361,The Walk
362,Prima Avenue 1
364,Kitchen Village
366,Prima Avenue 2
367,Fujitsu
368,DHL IT Services (WW)
369,DHL IT Services (EW)
370,DHL Parking
372,Malaysia Digital Economy Corporation (MDEC)
373,MDeC Parking
376,Kompleks Balai Polis Cyberjaya
379,Basis Bay
381,HASIL
384,HP Global Centre
388,Sekolah Seri Puteri Cyberjaya
399,La Vida Clubhouse
421,Cyberview Lodge Resort and Spa
422,Nyonya Valley Restaurant
424,Malaysia Industry Group For High Technology (MiGHT)
427,JPJ IT Centre
429,BMW Malaysia
432,Enterprise Building 3
434,Block 2300 Century Square
436,T-Systems
437,Wisma Shell
438,Block 2310 Century Square
439,Block 2320 Century Square
441,Bangunan Mustapha Kamal
443,SME Technopreneur Centre
446,Sports Arena Cyberjaya
450,Sports Arena Cyberjaya Parking
452,City Command Centre
455,Enterprise Building 1
458,HSBC
461,IBM
463,Ericsson
466,Emerio Building
467,Wisma Shell-U Village
468,University Malaysia of Computer Science & Engineering (UNIMY)
471,Petronas
480,Cyberjaya University College of Medical Sciences (CUCMS)
481,The Street Mall
482,Bus Terminal Food Court
484,Cyberjaya Bus Station
485,Cyberjaya Mini Park
489,ELC International School
500,TM Cyberjaya
506,SMK Cyberjaya
509,DPulze Shopping Centre
510,Pullman Putrajaya Lakeside
512,MMU Stadium
513,Cyberia Main Swimming Pool
514,Visitor Car Park
515,Cyberia Tennis Court
518,Petronas Precint 9
530,Hospital Putrajaya
531,Institut Kanser Negara
533,Cyberia Tower A Swimming Pool
534,Cyberia Tower C Swimming Pool
535,Cyberia Tower B Swimming Pool
543,Taman Cabaran
545,Kementerian Pelancongan & Kebudayaan
546,Yayasan Kepimpinan Perdana
547,Surau Putra Al-Amin
548,Ibu Pejabat Jabatan Bomba & Penyelamat
549,IPD Putrajaya
550,Kompleks Sukan Air Putrajaya Presint 6
551,Putrajaya Racing Car
552,Taman Seri Empangan
587,Masjid Taman Putra Perdana
666,Centrus Mall
667,Surau Amanputra
675,Suruhanjaya Pencegah Rasuah Malaysia
